Feature,Importance
rolling_mean_3,0.9435548118326391
hour,0.021986651217464105
rolling_std_24,0.007662425939875842
lag_24,0.007247492637225088
lag_1,0.007021790636896633
rolling_mean_24,0.0049761677379690184
PULocationID,0.003907592120536329
day_of_week,0.0017671573608192828
month,0.0010017054934530856
is_peak_hour,0.00048226423545217684
is_weekend,0.0003919407876691184
