Model,R2 Score,MAE,RMSE
Linear Regression,0.9515697311636562,9.132031147847467,17.953294272607984
Random Forest,0.9730241177142475,6.028267625769007,13.399035521910543
XGBoost,0.963213324546814,6.612802982330322,15.646992683410645
